Pipe Number,Date,Time,R1,R2,R3,R4,R5
P2,2026-05-13,11:10:57,38.76,35.49,38.96,36.89,37.3
P3,2026-05-13,11:10:57,42.01,35.59,35.56,42.79,44.75
P1,2026-05-13,11:11:29,36.59,41.16,41.11,43.0,35.73
P2,2026-05-13,11:11:29,44.71,43.85,35.09,44.74,35.56
P3,2026-05-13,11:11:29,41.35,39.84,43.76,41.75,43.4
P1,2026-05-13,11:12:01,36.29,41.68,41.39,36.03,37.28
P2,2026-05-13,11:12:01,36.99,38.64,35.58,43.04,37.41
P3,2026-05-13,11:12:01,42.26,44.31,42.16,39.12,43.66
P1,2026-05-13,11:12:33,41.31,42.31,44.79,39.23,42.3
P2,2026-05-13,11:12:33,43.94,35.62,42.21,42.93,43.67
P3,2026-05-13,11:12:33,35.68,36.72,37.19,40.13,44.77
P1,2026-05-13,11:13:05,37.26,39.49,43.45,35.88,35.96
P2,2026-05-13,11:13:05,38.35,35.56,37.75,44.52,36.92
P3,2026-05-13,11:13:05,39.79,38.14,38.41,38.21,35.37
P1,2026-05-13,11:13:37,41.61,40.02,38.4,44.18,35.4
P2,2026-05-13,11:13:37,40.43,36.57,43.16,35.39,35.74
P3,2026-05-13,11:13:37,38.34,42.59,37.09,39.92,35.97
P1,2026-05-13,11:14:09,42.48,44.6,41.85,42.46,39.19
P2,2026-05-13,11:14:09,41.44,41.29,39.25,38.76,44.57
P3,2026-05-13,11:14:09,37.87,35.23,40.94,35.54,43.69
P1,2026-05-13,11:14:41,42.15,35.66,44.77,43.08,38.82
P2,2026-05-13,11:14:41,40.71,38.64,44.7,42.95,40.14
P3,2026-05-13,11:14:41,37.18,36.81,37.54,35.01,41.14
P1,2026-05-13,11:15:13,42.43,39.45,43.42,38.65,38.5
P2,2026-05-13,11:15:13,37.71,44.06,43.36,41.82,35.89
P3,2026-05-13,11:15:13,39.18,41.34,38.06,40.45,36.81
P1,2026-05-13,11:15:45,38.51,37.11,38.79,37.11,39.62
P2,2026-05-13,11:15:45,38.53,37.64,44.56,37.8,35.92
P3,2026-05-13,11:15:45,38.36,37.16,39.35,37.28,36.63
P1,2026-05-13,11:16:17,38.7,37.77,43.44,40.33,43.01
P2,2026-05-13,11:16:17,44.34,41.78,43.1,39.17,38.45
P3,2026-05-13,11:16:17,39.41,37.12,44.13,39.05,41.5
P1,2026-05-13,11:16:49,35.12,42.55,35.23,42.63,42.5
P2,2026-05-13,11:16:49,38.62,36.8,40.78,39.47,37.2
P3,2026-05-13,11:16:49,42.22,35.78,44.15,42.39,40.56
P1,2026-05-13,11:17:21,43.37,39.05,36.88,43.13,39.26
P2,2026-05-13,11:17:21,43.61,35.94,40.52,35.97,40.8
P3,2026-05-13,11:17:21,37.39,40.12,41.35,37.13,42.02
P1,2026-05-13,11:17:54,44.11,39.5,39.74,39.42,43.22
P2,2026-05-13,11:17:54,39.83,41.55,35.37,37.6,38.67
P3,2026-05-13,11:17:54,37.37,41.84,36.76,44.64,44.62
P1,2026-05-13,11:18:26,36.26,43.15,37.28,39.42,37.05
P2,2026-05-13,11:18:26,41.68,37.83,36.32,39.02,41.07
P3,2026-05-13,11:18:26,43.55,35.54,38.58,40.7,43.44
P1,2026-05-13,11:18:58,37.44,44.73,41.9,42.84,36.13
P2,2026-05-13,11:18:58,42.87,35.19,43.84,36.5,40.87
P3,2026-05-13,11:18:58,41.97,38.99,42.34,43.34,38.48
P1,2026-05-13,11:19:30,41.15,42.83,40.76,38.55,38.6
P2,2026-05-13,11:19:30,44.27,37.18,44.44,42.94,39.83
P3,2026-05-13,11:19:30,39.15,39.77,36.65,41.37,40.29
P1,2026-05-13,11:20:02,43.95,36.74,36.85,43.09,42.11
P2,2026-05-13,11:20:02,40.83,36.9,44.3,41.95,37.9
P3,2026-05-13,11:20:02,35.28,44.52,41.62,39.28,44.94
P1,2026-05-13,11:20:34,36.42,40.03,43.67,44.3,36.06
P2,2026-05-13,11:20:34,36.07,37.99,42.32,39.18,40.7
P3,2026-05-13,11:20:34,43.34,40.25,42.75,36.62,39.61
P1,2026-05-13,11:21:06,39.75,37.55,43.45,35.63,36.6
P2,2026-05-13,11:21:06,40.58,44.36,41.16,38.02,40.38
P3,2026-05-13,11:21:06,36.5,39.52,39.19,39.57,35.45
P1,2026-05-13,11:21:38,35.93,43.59,37.2,44.12,44.1
P2,2026-05-13,11:21:38,37.91,36.31,36.75,43.97,42.39
P3,2026-05-13,11:21:38,39.66,43.63,41.77,37.89,38.16
P1,2026-05-13,11:22:10,42.16,35.21,40.21,40.93,36.01
P2,2026-05-13,11:22:10,44.28,43.74,40.27,37.57,39.1
P3,2026-05-13,11:22:10,38.61,36.54,42.05,37.17,41.94
P1,2026-05-13,11:22:42,36.75,40.58,37.05,41.94,35.27
P2,2026-05-13,11:22:42,39.57,38.2,43.78,37.48,37.22
P3,2026-05-13,11:22:42,44.57,44.14,43.54,43.4,36.51
P1,2026-05-13,11:23:14,37.9,35.12,38.36,39.88,40.02
P2,2026-05-13,11:23:14,37.73,35.9,35.81,42.5,41.85
P3,2026-05-13,11:23:14,40.85,44.13,37.46,40.72,42.39
P1,2026-05-13,11:23:46,44.53,42.86,41.2,42.52,41.98
P2,2026-05-13,11:23:46,42.79,35.28,39.25,40.03,36.26
P3,2026-05-13,11:23:46,36.63,40.65,37.85,38.85,39.26
P1,2026-05-13,11:24:18,36.73,41.28,43.48,44.53,40.21
P2,2026-05-13,11:24:18,37.17,35.53,37.81,41.74,36.68
P3,2026-05-13,11:24:18,35.35,39.13,44.0,43.48,43.26
P1,2026-05-13,11:24:50,39.15,38.12,44.7,39.29,40.45
P2,2026-05-13,11:24:50,40.02,40.77,36.15,41.26,35.28
P3,2026-05-13,11:24:50,44.94,37.61,39.6,44.65,44.27
P1,2026-05-13,11:25:22,44.79,36.77,38.89,43.09,36.84
P2,2026-05-13,11:25:22,39.79,38.36,40.02,40.66,40.37
P3,2026-05-13,11:25:22,36.38,41.94,41.92,39.99,39.38
P1,2026-05-13,11:25:54,37.79,43.13,40.8,41.5,40.67
P2,2026-05-13,11:25:54,35.25,40.22,41.25,38.05,42.35
P3,2026-05-13,11:25:54,35.32,39.97,40.49,42.63,44.88
P1,2026-05-13,11:26:26,40.12,38.57,38.81,37.28,43.9
P2,2026-05-13,11:26:26,41.88,37.15,40.35,43.93,38.25
P3,2026-05-13,11:26:26,36.43,37.4,37.13,42.16,39.9
P1,2026-05-13,11:26:58,44.53,40.88,44.04,40.89,36.07
P2,2026-05-13,11:26:58,41.41,43.46,43.6,43.01,41.36
P3,2026-05-13,11:26:58,41.39,43.71,41.4,35.1,36.72
P1,2026-05-13,11:27:30,42.76,37.01,38.85,42.96,38.0
P2,2026-05-13,11:27:30,41.44,43.63,42.76,37.9,40.03
P3,2026-05-13,11:27:30,40.09,36.87,40.08,39.57,36.82
P1,2026-05-13,11:28:02,40.7,42.17,39.82,40.87,37.27
P2,2026-05-13,11:28:02,36.35,36.79,42.38,42.65,39.01
P3,2026-05-13,11:28:02,38.21,41.15,44.28,38.93,43.86
P1,2026-05-13,11:28:35,42.33,38.8,42.06,43.76,41.83
P2,2026-05-13,11:28:35,39.21,42.26,37.67,36.0,39.84
P3,2026-05-13,11:28:35,36.86,44.08,41.33,37.32,42.37
P1,2026-05-13,11:29:07,35.58,44.73,43.12,38.6,43.21
P2,2026-05-13,11:29:07,42.67,42.41,41.46,36.02,38.99
P3,2026-05-13,11:29:07,43.7,44.81,38.28,36.15,40.18
P1,2026-05-13,11:29:39,35.89,35.64,38.47,42.65,36.11
P2,2026-05-13,11:29:39,37.71,36.35,36.09,38.15,35.97
P3,2026-05-13,11:29:39,41.74,37.65,38.97,37.2,35.31
P1,2026-05-13,11:30:11,39.36,43.36,36.0,43.12,39.08
P2,2026-05-13,11:30:11,39.81,41.82,40.28,44.11,39.29
P3,2026-05-13,11:30:11,38.21,38.95,41.94,36.46,44.41
P1,2026-05-13,11:30:43,37.86,37.83,42.8,44.05,39.86
P2,2026-05-13,11:30:43,40.18,37.37,42.29,43.06,40.96
P3,2026-05-13,11:30:43,44.17,36.76,36.92,42.75,38.44
P1,2026-05-13,11:31:15,36.5,41.82,43.53,38.47,42.89
P2,2026-05-13,11:31:15,44.69,43.29,36.92,40.59,42.8
P3,2026-05-13,11:31:15,43.91,42.69,40.0,38.2,41.56
P1,2026-05-13,11:31:47,39.69,39.26,36.08,43.76,38.06
P2,2026-05-13,11:31:47,44.37,42.45,39.66,39.74,39.73
P3,2026-05-13,11:31:47,39.23,42.87,44.94,43.44,35.21
P1,2026-05-13,11:32:19,40.91,43.4,37.14,42.64,36.62
P2,2026-05-13,11:32:19,40.65,39.83,40.22,37.63,38.69
P3,2026-05-13,11:32:19,38.97,39.54,35.43,42.94,42.4
P1,2026-05-13,11:32:51,38.76,44.74,42.81,41.49,38.46
P2,2026-05-13,11:32:51,39.1,39.65,43.2,35.21,43.9
P3,2026-05-13,11:32:51,43.97,41.01,36.33,40.21,41.33
P1,2026-05-13,11:33:23,41.72,38.5,44.21,43.04,39.37
P2,2026-05-13,11:33:23,43.19,39.5,42.12,42.71,35.31
P3,2026-05-13,11:33:23,42.16,35.9,36.9,42.57,44.46
P1,2026-05-13,11:33:55,37.29,44.16,37.57,38.39,39.83
P2,2026-05-13,11:33:55,42.32,40.6,37.66,38.93,42.46
P3,2026-05-13,11:33:55,38.21,37.03,36.28,40.51,44.5
P1,2026-05-13,11:34:28,37.94,44.58,44.24,37.29,41.42
P2,2026-05-13,11:34:28,42.9,37.71,41.97,40.76,39.38
P3,2026-05-13,11:34:28,43.81,39.95,37.35,37.4,36.1
P1,2026-05-13,11:35:00,42.29,41.07,44.23,44.27,44.75
P2,2026-05-13,11:35:00,43.58,40.16,38.8,43.4,35.79
P3,2026-05-13,11:35:00,39.71,40.94,43.92,41.76,38.65
P1,2026-05-13,11:35:32,43.72,41.45,41.04,41.24,35.68
P2,2026-05-13,11:35:32,39.3,38.23,39.25,39.21,40.51
P3,2026-05-13,11:35:32,37.82,40.5,44.47,43.72,37.69
P1,2026-05-13,11:36:04,36.51,38.92,43.47,35.08,38.42
P2,2026-05-13,11:36:04,35.63,38.22,44.28,41.51,40.15
P3,2026-05-13,11:36:04,35.7,37.73,35.74,35.65,36.02
P1,2026-05-13,11:36:36,38.46,42.68,40.09,37.13,42.34
P2,2026-05-13,11:36:36,37.46,36.73,39.87,39.59,36.38
P3,2026-05-13,11:36:36,43.99,39.2,41.1,40.13,42.18
P1,2026-05-13,11:37:08,42.11,36.25,36.67,35.42,39.11
P2,2026-05-13,11:37:08,35.02,39.39,41.7,44.65,44.94
P3,2026-05-13,11:37:08,35.58,42.98,41.19,43.76,39.73
P1,2026-05-13,11:37:40,43.04,44.46,35.21,38.2,35.94
P2,2026-05-13,11:37:40,35.19,43.38,44.83,42.29,40.21
P3,2026-05-13,11:37:40,40.62,44.52,44.95,41.92,39.46
P1,2026-05-13,11:38:12,37.63,35.51,39.41,44.17,44.62
P2,2026-05-13,11:38:12,40.81,42.47,36.54,40.89,38.1
P3,2026-05-13,11:38:12,44.75,40.08,41.4,40.33,43.32
P1,2026-05-13,11:38:44,43.4,43.93,36.95,38.56,35.88
P2,2026-05-13,11:38:44,41.82,38.83,44.1,44.7,40.67
P3,2026-05-13,11:38:44,40.57,39.87,44.78,44.54,35.53
P1,2026-05-13,11:39:16,44.43,42.37,37.88,38.21,39.24
P2,2026-05-13,11:39:16,39.96,40.02,41.38,43.12,36.7
P3,2026-05-13,11:39:16,37.35,42.33,41.82,35.55,38.63
P1,2026-05-13,11:39:48,38.06,42.22,40.2,37.13,42.59
P2,2026-05-13,11:39:48,35.1,44.95,35.87,36.84,39.24
P3,2026-05-13,11:39:48,37.64,39.46,35.4,40.47,36.46
P1,2026-05-13,11:40:21,35.89,41.38,36.05,36.61,37.93
P2,2026-05-13,11:40:21,36.8,39.75,37.4,36.19,36.36
P3,2026-05-13,11:40:21,36.94,38.76,38.91,37.17,35.57
P1,2026-05-13,11:40:53,40.78,39.26,43.88,41.71,39.36
P2,2026-05-13,11:40:53,43.68,40.79,39.38,40.92,40.16
P3,2026-05-13,11:40:53,44.98,43.12,42.7,35.03,36.26
P1,2026-05-13,11:41:25,40.83,36.27,40.98,41.34,42.15
P2,2026-05-13,11:41:25,35.15,38.26,38.76,36.72,40.14
P3,2026-05-13,11:41:25,38.33,42.62,44.82,42.31,36.52
P1,2026-05-13,11:41:57,43.83,39.64,44.5,43.48,43.59
P2,2026-05-13,11:41:57,39.07,35.21,35.78,43.69,38.92
P3,2026-05-13,11:41:57,35.92,38.45,36.45,39.82,43.75
P1,2026-05-13,11:42:29,41.6,38.57,43.95,40.85,38.3
P2,2026-05-13,11:42:29,39.62,44.66,44.6,39.68,44.24
P3,2026-05-13,11:42:29,43.52,40.8,36.47,44.12,40.81
P1,2026-05-13,11:43:01,41.91,40.55,41.19,42.13,38.05
P2,2026-05-13,11:43:01,43.58,43.51,40.73,43.6,42.37
P3,2026-05-13,11:43:01,36.29,40.79,41.4,40.07,39.78
P1,2026-05-13,11:43:34,42.31,43.33,43.2,38.27,39.02
P2,2026-05-13,11:43:34,35.25,41.54,38.87,37.16,44.85
P3,2026-05-13,11:43:34,38.8,44.63,43.74,35.71,36.17
P1,2026-05-13,11:44:06,41.45,43.46,40.25,35.27,42.73
P2,2026-05-13,11:44:06,42.39,40.32,42.67,41.32,38.24
P3,2026-05-13,11:44:06,36.05,37.87,44.1,35.39,37.19
P1,2026-05-13,11:44:38,40.01,37.45,40.78,40.92,39.08
P2,2026-05-13,11:44:38,43.58,35.96,38.33,42.63,40.68
P3,2026-05-13,11:44:38,43.19,44.47,44.13,43.12,42.41
P1,2026-05-13,11:45:10,41.88,40.38,38.89,40.24,42.34
P2,2026-05-13,11:45:10,37.34,37.65,44.01,44.16,38.0
P3,2026-05-13,11:45:10,43.22,38.14,44.08,43.49,38.82
P1,2026-05-13,11:45:42,40.34,36.75,37.16,35.99,39.26
P2,2026-05-13,11:45:42,38.8,44.67,43.28,37.53,44.53
P3,2026-05-13,11:45:42,43.38,41.96,38.27,36.86,40.05
P1,2026-05-13,11:46:14,36.53,39.81,35.97,43.52,42.71
P2,2026-05-13,11:46:14,35.39,38.71,44.91,40.55,35.21
P3,2026-05-13,11:46:14,37.92,36.27,36.36,40.02,42.16
P1,2026-05-13,11:46:46,36.51,41.06,35.34,35.77,41.48
P2,2026-05-13,11:46:46,44.81,41.31,39.88,41.44,40.89
P3,2026-05-13,11:46:46,36.69,37.56,35.67,44.77,43.72
P1,2026-05-13,11:47:18,43.07,44.85,41.88,43.83,41.25
P2,2026-05-13,11:47:18,42.84,36.71,44.01,37.12,44.45
P3,2026-05-13,11:47:18,39.74,41.07,35.19,37.76,42.85
P1,2026-05-13,11:47:50,37.95,36.96,42.64,40.68,40.38
P2,2026-05-13,11:47:50,39.26,37.42,43.69,41.19,44.67
P3,2026-05-13,11:47:50,39.59,37.08,38.59,35.23,37.74
P1,2026-05-13,11:48:23,38.14,35.08,37.51,38.37,43.37
P2,2026-05-13,11:48:23,38.28,38.58,43.5,35.62,38.1
P3,2026-05-13,11:48:23,43.38,39.56,40.71,43.5,43.59
P1,2026-05-13,11:48:55,42.84,44.62,40.59,36.65,41.42
P2,2026-05-13,11:48:55,43.03,36.28,42.1,38.96,37.55
P3,2026-05-13,11:48:55,37.11,42.18,37.9,38.62,36.7
P1,2026-05-13,11:49:27,43.0,38.6,36.67,39.69,35.01
P2,2026-05-13,11:49:27,43.18,38.07,35.85,41.6,43.65
P3,2026-05-13,11:49:27,39.67,36.35,44.71,42.08,44.67
P1,2026-05-13,11:49:59,43.04,44.22,36.79,41.44,44.8
P2,2026-05-13,11:49:59,42.32,40.39,36.53,42.14,42.05
P3,2026-05-13,11:49:59,43.22,36.68,44.13,39.58,35.88
P1,2026-05-13,11:50:31,37.34,39.94,35.63,39.76,35.78
P2,2026-05-13,11:50:31,44.56,35.97,39.2,35.26,40.17
P3,2026-05-13,11:50:31,35.4,44.68,36.51,44.15,36.35
P1,2026-05-13,11:51:03,38.69,36.85,36.64,40.1,37.15
P2,2026-05-13,11:51:03,37.06,38.81,37.97,36.32,40.84
P3,2026-05-13,11:51:03,37.27,42.35,40.93,38.25,41.69
P1,2026-05-13,11:51:35,42.6,42.17,39.52,41.67,41.49
P2,2026-05-13,11:51:35,43.36,44.91,38.67,38.44,43.42
P3,2026-05-13,11:51:35,40.82,44.04,35.52,35.52,43.87
P1,2026-05-13,11:52:07,43.58,41.88,40.34,41.41,44.85
P2,2026-05-13,11:52:07,44.52,37.22,40.23,42.3,37.08
P3,2026-05-13,11:52:07,35.99,38.33,40.31,41.08,37.43
P1,2026-05-13,11:52:39,39.1,42.05,36.39,41.52,40.92
P2,2026-05-13,11:52:39,35.24,35.48,42.11,39.14,36.02
P3,2026-05-13,11:52:39,38.76,42.56,43.73,42.0,39.81
P1,2026-05-13,11:53:11,39.69,35.78,40.7,37.01,35.21
P2,2026-05-13,11:53:11,39.36,36.81,41.04,41.12,36.15
P3,2026-05-13,11:53:11,35.5,35.07,35.56,39.84,40.51
P1,2026-05-13,11:53:44,40.9,37.11,35.37,42.92,40.05
P2,2026-05-13,11:53:44,39.07,40.43,36.71,39.15,43.39
P3,2026-05-13,11:53:44,41.43,39.36,39.42,36.21,42.25
P1,2026-05-13,11:54:16,38.9,43.97,37.13,37.11,37.84
P2,2026-05-13,11:54:16,39.3,37.23,37.31,39.16,38.28
P3,2026-05-13,11:54:16,39.71,36.48,37.96,44.77,35.36
P1,2026-05-13,11:54:48,40.92,37.81,40.1,35.43,37.31
P2,2026-05-13,11:54:48,40.16,40.37,39.78,36.71,39.28
P3,2026-05-13,11:54:48,44.88,41.35,40.69,40.49,36.02
P1,2026-05-13,11:55:20,37.88,37.68,42.33,36.85,36.88
P2,2026-05-13,11:55:20,39.75,42.93,36.19,39.32,39.85
P3,2026-05-13,11:55:20,39.56,39.22,40.1,42.02,40.4
P1,2026-05-13,11:55:52,41.32,40.45,40.68,44.82,44.54
P2,2026-05-13,11:55:52,43.1,41.59,38.93,37.13,39.54
P3,2026-05-13,11:55:52,43.15,42.57,36.47,36.27,36.42
